Freq (MHz),re(S11),im(S11),re(Z),im(Z)
200.000,-0.98045,0.19105,0.028,4.826
205.806,-0.97893,0.19603,0.041,4.957
211.612,-0.97712,0.20124,0.060,5.095
217.417,-0.97603,0.20801,0.052,5.269
223.223,-0.97500,0.21217,0.055,5.377
229.029,-0.97313,0.21725,0.074,5.513
234.835,-0.97227,0.22282,0.064,5.656
240.641,-0.97062,0.22919,0.068,5.823
246.446,-0.97013,0.23305,0.058,5.921
252.252,-0.96896,0.23867,0.053,6.067
258.058,-0.96764,0.24374,0.054,6.200
263.864,-0.96466,0.25025,0.087,6.380
269.670,-0.96337,0.25526,0.086,6.512
275.475,-0.96368,0.25889,0.055,6.599
281.281,-0.96208,0.26483,0.054,6.756
287.087,-0.96033,0.27016,0.061,6.899
292.893,-0.95931,0.27634,0.043,7.058
298.699,-0.95866,0.28049,0.029,7.164
304.505,-0.95663,0.28626,0.037,7.320
310.310,-0.95395,0.29189,0.061,7.478
316.116,-0.95190,0.29901,0.058,7.668
321.922,-0.94901,0.30379,0.091,7.808
327.728,-0.94948,0.30852,0.042,7.919
333.534,-0.94673,0.31324,0.072,8.057
339.339,-0.94654,0.31900,0.030,8.199
345.145,-0.94320,0.32475,0.063,8.367
350.951,-0.94032,0.32964,0.092,8.510
356.757,-0.94025,0.33569,0.042,8.658
362.563,-0.93748,0.34084,0.064,8.807
368.368,-0.93662,0.34613,0.038,8.943
374.174,-0.93461,0.35092,0.043,9.077
379.980,-0.93120,0.35612,0.078,9.235
385.786,-0.92871,0.36255,0.079,9.414
391.592,-0.92795,0.36785,0.047,9.549
397.397,-0.92618,0.37342,0.036,9.700
403.203,-0.92337,0.37843,0.054,9.848
409.009,-0.92256,0.38272,0.031,9.960
414.815,-0.91926,0.38769,0.061,10.112
420.621,-0.91598,0.39229,0.093,10.256
426.426,-0.91534,0.39849,0.044,10.412
432.232,-0.91294,0.40413,0.042,10.572
438.038,-0.91132,0.40802,0.039,10.682
443.844,-0.90964,0.41324,0.023,10.825
449.650,-0.90624,0.41815,0.051,10.979
455.455,-0.90389,0.42240,0.060,11.106
461.261,-0.90148,0.42671,0.069,11.236
467.067,-0.90074,0.43073,0.041,11.340
472.873,-0.89572,0.43627,0.097,11.529
478.679,-0.89390,0.44080,0.088,11.658
484.484,-0.89176,0.44591,0.078,11.804
490.290,-0.88911,0.45056,0.086,11.946
496.096,-0.88738,0.45490,0.075,12.069
501.902,-0.88640,0.45753,0.066,12.143
507.708,-0.88524,0.46358,0.019,12.300
513.514,-0.88088,0.46795,0.068,12.456
519.319,-0.87803,0.47368,0.063,12.627
525.125,-0.87595,0.47594,0.083,12.706
530.931,-0.87134,0.48099,0.126,12.884
536.737,-0.87120,0.48427,0.087,12.963
542.543,-0.86705,0.49125,0.093,13.180
548.348,-0.86659,0.49444,0.061,13.261
554.154,-0.86529,0.49754,0.050,13.350
559.960,-0.86019,0.50134,0.118,13.507
565.766,-0.85640,0.50868,0.106,13.730
571.572,-0.85331,0.51291,0.119,13.871
577.377,-0.85220,0.51636,0.096,13.966
583.183,-0.84847,0.52155,0.109,14.139
588.989,-0.84648,0.52587,0.094,14.267
594.795,-0.84382,0.52974,0.100,14.394
600.601,-0.84237,0.53206,0.100,14.468
606.406,-0.83641,0.53994,0.121,14.737
612.212,-0.83228,0.54305,0.170,14.869
618.018,-0.83148,0.54745,0.122,14.982
623.824,-0.82773,0.55290,0.126,15.163
629.630,-0.82410,0.55687,0.148,15.309
635.435,-0.81822,0.56011,0.232,15.474
641.241,-0.81690,0.56499,0.186,15.606
647.047,-0.81615,0.57148,0.101,15.765
652.853,-0.81125,0.57532,0.151,15.930
658.659,-0.80895,0.57933,0.138,16.057
664.464,-0.80691,0.58361,0.115,16.186
670.270,-0.80368,0.58663,0.138,16.307
676.076,-0.79835,0.59275,0.157,16.532
681.882,-0.79599,0.59716,0.137,16.670
687.688,-0.79228,0.60188,0.140,16.838
693.493,-0.78957,0.60350,0.173,16.920
699.299,-0.78578,0.60856,0.172,17.097
705.105,-0.78400,0.61408,0.116,17.251
710.911,-0.78060,0.61612,0.156,17.355
716.717,-0.77807,0.61907,0.160,17.464
722.523,-0.77455,0.62433,0.145,17.642
728.328,-0.77028,0.62780,0.178,17.795
734.134,-0.76765,0.63085,0.181,17.909
739.940,-0.76357,0.63784,0.144,18.136
745.746,-0.76215,0.63992,0.137,18.207
751.552,-0.76006,0.64685,0.055,18.396
757.357,-0.75956,0.64793,0.046,18.429
763.163,-0.75478,0.65120,0.089,18.588
768.969,-0.75303,0.65770,0.005,18.761
774.775,-0.74671,0.65724,0.150,18.870
780.581,-0.74496,0.65971,0.141,18.957
786.386,-0.74110,0.66308,0.160,19.103
792.192,-0.73709,0.66776,0.156,19.281
797.998,-0.73449,0.66995,0.169,19.378
803.804,-0.73014,0.67240,0.214,19.515
809.610,-0.72791,0.67964,0.119,19.714
815.415,-0.72653,0.68253,0.091,19.802
821.221,-0.72504,0.68477,0.078,19.879
827.027,-0.72068,0.68883,0.089,20.052
832.833,-0.71565,0.69277,0.116,20.237
838.639,-0.71502,0.69465,0.091,20.289
844.444,-0.71079,0.69764,0.118,20.437
850.250,-0.70697,0.70000,0.150,20.566
856.056,-0.70354,0.70112,0.198,20.660
861.862,-0.70068,0.70550,0.167,20.811
867.668,-0.69642,0.70743,0.215,20.940
873.473,-0.69233,0.71111,0.223,21.103
879.279,-0.68866,0.71294,0.260,21.219
885.085,-0.68359,0.71868,0.242,21.447
890.891,-0.68064,0.72020,0.270,21.542
896.697,-0.67868,0.72367,0.235,21.656
902.503,-0.67321,0.72564,0.304,21.816
908.308,-0.67032,0.73165,0.231,22.002
914.114,-0.66653,0.73536,0.226,22.162
919.920,-0.66345,0.73767,0.237,22.278
925.726,-0.65874,0.74448,0.179,22.521
931.532,-0.65597,0.74616,0.196,22.618
937.337,-0.65107,0.74874,0.236,22.781
943.143,-0.64720,0.75171,0.245,22.930
948.949,-0.64226,0.75315,0.311,23.073
954.755,-0.63738,0.75533,0.357,23.230
960.561,-0.63531,0.75787,0.339,23.329
966.366,-0.62957,0.75975,0.409,23.502
972.172,-0.62399,0.76424,0.413,23.724
977.978,-0.61989,0.76755,0.414,23.888
983.784,-0.61751,0.77229,0.346,24.038
