Ref,Val,Package,PosX,PosY,Rot,Side
"Q2","PJE138K","SOT-523",2.425000,22.900000,-90.000000,top
"R34","R_4x0R_0201_array","R_Array_4x0201_Panasonic_EXB18V",8.550000,4.800000,0.000000,top
"R209","R_499R_0402","R_0402_1005Metric",7.515000,17.690000,45.000000,top
"R210","R_499R_0402","R_0402_1005Metric",8.845000,19.020000,-135.000000,top
"SP1","Simulation_Port","Simulation_Port",9.675000,1.150000,0.000000,top
"SP2","Simulation_Port","Simulation_Port",9.275000,1.150000,0.000000,top
"SP3","Simulation_Port","Simulation_Port",8.475000,1.150000,0.000000,top
"SP4","Simulation_Port","Simulation_Port",8.075000,1.150000,0.000000,top
"SP5","Simulation_Port","Simulation_Port",7.450000,5.775000,-90.000000,top
"SP6","Simulation_Port","Simulation_Port",7.425000,6.025000,-90.000000,top
"SP7","Simulation_Port","Simulation_Port",2.375000,29.275000,-90.000000,top
"SP8","Simulation_Port","Simulation_Port",2.375000,29.525000,-90.000000,top
"SP9","Simulation_Port","Simulation_Port",3.500000,26.875000,0.000000,top
"SP10","Simulation_Port","Simulation_Port",3.250000,26.875000,0.000000,top
"SP11","Simulation_Port","Simulation_Port",11.500000,7.100000,90.000000,top
"SP12","Simulation_Port","Simulation_Port",11.500000,7.350000,90.000000,top
"SP13","Simulation_Port","Simulation_Port",0.475000,30.300000,180.000000,top
"SP14","Simulation_Port","Simulation_Port",0.800000,30.225000,180.000000,top
"TP57","TP_0.75mm_SMD","TP_SMD_0.75mm",6.375800,8.700000,90.000000,top
"U45","TPD4E05U06QDQARQ1","USON-10_2.5x1mm_P0.5mm",8.550000,3.200000,90.000000,top
