Freq (MHz),re(S11),im(S11),re(Z),im(Z)
200.000,0.69101,-0.70633,1.985,-118.835
205.806,0.67442,-0.72039,2.097,-115.269
211.612,0.65974,-0.73333,2.063,-112.207
217.417,0.64473,-0.74669,1.959,-109.203
223.223,0.62893,-0.75892,1.996,-106.343
229.029,0.61214,-0.77052,2.122,-103.545
234.835,0.59723,-0.78293,1.957,-100.997
240.641,0.58072,-0.79436,1.968,-98.458
246.446,0.56548,-0.80409,2.016,-96.256
252.252,0.54895,-0.81527,1.958,-93.913
258.058,0.53255,-0.82519,1.971,-91.744
263.864,0.51677,-0.83540,1.882,-89.692
269.670,0.50190,-0.84427,1.837,-87.863
275.475,0.48543,-0.85229,1.915,-85.988
281.281,0.47007,-0.86219,1.741,-84.182
287.087,0.45380,-0.87023,1.742,-82.437
292.893,0.43911,-0.87871,1.613,-80.859
298.699,0.42288,-0.88543,1.664,-79.265
304.505,0.40837,-0.89173,1.661,-77.866
310.310,0.39376,-0.89880,1.579,-76.470
316.116,0.37852,-0.90663,1.438,-75.039
321.922,0.36181,-0.91232,1.483,-73.597
327.728,0.34817,-0.91906,1.344,-72.393
333.534,0.33417,-0.92410,1.324,-71.233
339.339,0.31976,-0.92812,1.373,-70.093
345.145,0.30479,-0.93316,1.341,-68.913
350.951,0.29222,-0.94010,1.113,-67.890
356.757,0.27676,-0.94387,1.149,-66.753
362.563,0.26250,-0.94802,1.121,-65.714
368.368,0.24701,-0.95023,1.226,-64.644
374.174,0.23406,-0.95531,1.087,-63.718
379.980,0.22228,-0.95924,0.999,-62.901
385.786,0.20713,-0.96267,0.976,-61.893
391.592,0.19351,-0.96585,0.938,-61.003
397.397,0.17985,-0.96729,0.995,-60.144
403.203,0.16714,-0.97018,0.942,-59.341
409.009,0.15284,-0.97324,0.884,-58.457
414.815,0.13964,-0.97618,0.814,-57.655
420.621,0.12725,-0.97675,0.867,-56.929
426.426,0.11301,-0.97823,0.869,-56.101
432.232,0.10001,-0.97937,0.872,-55.358
438.038,0.08780,-0.97999,0.890,-54.672
443.844,0.07316,-0.97979,0.953,-53.864
449.650,0.06000,-0.98155,0.892,-53.142
455.455,0.04739,-0.98159,0.915,-52.464
461.261,0.03477,-0.98060,0.983,-51.795
467.067,0.02154,-0.98239,0.896,-51.101
472.873,0.00863,-0.98314,0.856,-50.433
478.679,-0.00440,-0.98327,0.839,-49.770
484.484,-0.01715,-0.98217,0.876,-49.127
490.290,-0.02689,-0.98214,0.859,-48.643
496.096,-0.03857,-0.98040,0.915,-48.063
501.902,-0.05044,-0.98155,0.823,-47.490
507.708,-0.06363,-0.98076,0.814,-46.854
513.514,-0.07672,-0.97872,0.855,-46.226
519.319,-0.08708,-0.97712,0.881,-45.735
525.125,-0.09918,-0.97559,0.889,-45.167
530.931,-0.11267,-0.97487,0.844,-44.547
536.737,-0.12333,-0.97235,0.891,-44.051
542.543,-0.13573,-0.97245,0.803,-43.500
548.348,-0.14205,-0.97087,0.828,-43.210
554.154,-0.15180,-0.96696,0.927,-42.755
559.960,-0.16567,-0.96234,1.017,-42.118
565.766,-0.17580,-0.96279,0.912,-41.689
571.572,-0.18812,-0.96136,0.865,-41.157
577.377,-0.19788,-0.95781,0.923,-40.718
583.183,-0.20522,-0.95660,0.904,-40.403
588.989,-0.21685,-0.95533,0.842,-39.916
594.795,-0.22605,-0.95459,0.780,-39.537
600.601,-0.23533,-0.95075,0.837,-39.126
606.406,-0.24627,-0.95081,0.719,-38.694
612.212,-0.25609,-0.94901,0.682,-38.291
618.018,-0.26444,-0.94716,0.660,-37.948
623.824,-0.27296,-0.94389,0.688,-37.585
629.630,-0.28340,-0.94273,0.610,-37.176
635.435,-0.29049,-0.93895,0.667,-36.865
641.241,-0.30117,-0.93778,0.581,-36.454
647.047,-0.30949,-0.93549,0.561,-36.121
652.853,-0.31741,-0.93238,0.574,-35.793
658.659,-0.32319,-0.93122,0.542,-35.570
664.464,-0.33445,-0.92643,0.566,-35.105
670.270,-0.34141,-0.92331,0.583,-34.817
676.076,-0.35016,-0.91954,0.596,-34.459
681.882,-0.35806,-0.91636,0.598,-34.141
687.688,-0.36482,-0.91457,0.564,-33.883
693.493,-0.37299,-0.90856,0.653,-33.519
699.299,-0.38246,-0.90657,0.583,-33.170
705.105,-0.39211,-0.90132,0.616,-32.771
710.911,-0.39669,-0.89776,0.665,-32.566
716.717,-0.40424,-0.89283,0.712,-32.244
722.523,-0.41373,-0.88892,0.693,-31.874
728.328,-0.42206,-0.88611,0.653,-31.563
734.134,-0.42756,-0.88233,0.687,-31.328
739.940,-0.43776,-0.87811,0.657,-30.939
745.746,-0.44678,-0.87031,0.753,-30.531
751.552,-0.45117,-0.86984,0.696,-30.387
757.357,-0.45979,-0.86315,0.757,-30.012
763.163,-0.46667,-0.85779,0.804,-29.713
768.969,-0.47461,-0.85497,0.753,-29.426
774.775,-0.48401,-0.84816,0.794,-29.030
780.581,-0.49214,-0.84085,0.865,-28.664
786.386,-0.49886,-0.83672,0.866,-28.395
792.192,-0.50538,-0.83429,0.819,-28.164
797.998,-0.51426,-0.82840,0.827,-27.806
803.804,-0.51951,-0.82434,0.846,-27.584
809.610,-0.52861,-0.82028,0.793,-27.256
815.415,-0.53290,-0.81434,0.878,-27.028
821.221,-0.54165,-0.81078,0.811,-26.723
827.027,-0.54715,-0.80575,0.844,-26.480
832.833,-0.55690,-0.79959,0.825,-26.102
838.639,-0.55981,-0.79384,0.921,-25.915
844.444,-0.56574,-0.78889,0.937,-25.664
850.250,-0.57307,-0.78256,0.959,-25.350
856.056,-0.57866,-0.77730,0.984,-25.104
861.862,-0.58774,-0.77314,0.911,-24.791
867.668,-0.59614,-0.76661,0.908,-24.451
873.473,-0.60290,-0.76195,0.888,-24.190
879.279,-0.61028,-0.75710,0.858,-23.912
885.085,-0.61572,-0.75222,0.867,-23.682
890.891,-0.62332,-0.74596,0.862,-23.372
896.697,-0.62829,-0.74307,0.829,-23.196
902.503,-0.63561,-0.73734,0.813,-22.907
908.308,-0.64037,-0.73321,0.810,-22.711
914.114,-0.64541,-0.72863,0.811,-22.501
919.920,-0.65133,-0.72153,0.849,-22.218
925.726,-0.65873,-0.71516,0.837,-21.918
931.532,-0.66233,-0.71103,0.853,-21.751
937.337,-0.67070,-0.70393,0.831,-21.417
943.143,-0.67575,-0.69682,0.878,-21.156
948.949,-0.68265,-0.69078,0.859,-20.879
954.755,-0.68857,-0.68336,0.887,-20.594
960.561,-0.69300,-0.67817,0.899,-20.389
966.366,-0.69871,-0.67136,0.915,-20.123
972.172,-0.70655,-0.66369,0.899,-19.795
977.978,-0.71197,-0.65778,0.898,-19.556
983.784,-0.71346,-0.65247,0.971,-19.409
989.590,-0.72140,-0.64530,0.935,-19.094
995.395,-0.72611,-0.63881,0.955,-18.858
1001.201,-0.73023,-0.63407,0.953,-18.672
1007.007,-0.73623,-0.62748,0.942,-18.411
1012.813,-0.74077,-0.61558,1.061,-18.056
1018.619,-0.74536,-0.60669,1.118,-17.769
1024.424,-0.74800,-0.59642,1.243,-17.484
1030.230,-0.75715,-0.58480,1.235,-17.052
1036.036,-0.76047,-0.57518,1.324,-16.769
1041.842,-0.76697,-0.56545,1.337,-16.428
1047.648,-0.77018,-0.55778,1.389,-16.192
1053.453,-0.77603,-0.54938,1.388,-15.896
1059.259,-0.78147,-0.53831,1.437,-15.543
1065.065,-0.78892,-0.52919,1.402,-15.205
1070.871,-0.79415,-0.52087,1.404,-14.923
1076.677,-0.79798,-0.51023,1.473,-14.607
1082.482,-0.80211,-0.50219,1.492,-14.349
1088.288,-0.80734,-0.49244,1.506,-14.034
1094.094,-0.81118,-0.47999,1.589,-13.672
1099.900,-0.81513,-0.46888,1.646,-13.341
1105.706,-0.82144,-0.45556,1.669,-12.923
1111.512,-0.82187,-0.44711,1.771,-12.705
1117.317,-0.82779,-0.43210,1.815,-12.249
1123.123,-0.83172,-0.42084,1.856,-11.914
1128.929,-0.83519,-0.40813,1.922,-11.547
1134.735,-0.83838,-0.39650,1.978,-11.211
1140.541,-0.84335,-0.38336,2.000,-10.815
1146.346,-0.84588,-0.37150,2.066,-10.479
1152.152,-0.84524,-0.36074,2.198,-10.205
1157.958,-0.85435,-0.34666,2.106,-9.741
1163.764,-0.85789,-0.33354,2.144,-9.361
