Freq (MHz),re(S11),im(S11),re(Z),im(Z)
200.000,0.73145,-0.66369,2.390,-129.473
205.806,0.71758,-0.67823,2.324,-125.655
211.612,0.70519,-0.69066,2.278,-122.474
217.417,0.69053,-0.70460,2.255,-118.973
223.223,0.67719,-0.71696,2.214,-115.968
229.029,0.66219,-0.72863,2.372,-112.963
234.835,0.64801,-0.74174,2.219,-110.038
240.641,0.63366,-0.75311,2.231,-107.375
246.446,0.61973,-0.76319,2.302,-104.969
252.252,0.60440,-0.77403,2.354,-102.436
258.058,0.59036,-0.78439,2.311,-100.169
263.864,0.57649,-0.79499,2.196,-97.981
269.670,0.56178,-0.80545,2.120,-95.797
275.475,0.54858,-0.81333,2.171,-93.996
281.281,0.53332,-0.82255,2.179,-91.969
287.087,0.52020,-0.83143,2.068,-90.227
292.893,0.50552,-0.84147,1.910,-88.335
298.699,0.49020,-0.84951,1.937,-86.547
304.505,0.47839,-0.85556,1.950,-85.210
310.310,0.46424,-0.86376,1.858,-83.607
316.116,0.45084,-0.87211,1.702,-82.108
321.922,0.43617,-0.87925,1.681,-80.592
327.728,0.42182,-0.88614,1.644,-79.153
333.534,0.41021,-0.89231,1.552,-77.994
339.339,0.39530,-0.89803,1.590,-76.616
345.145,0.38205,-0.90366,1.562,-75.401
350.951,0.37052,-0.91112,1.328,-74.293
356.757,0.35798,-0.91522,1.369,-73.228
362.563,0.34451,-0.92154,1.254,-72.057
368.368,0.33025,-0.92527,1.334,-70.919
374.174,0.31717,-0.93042,1.266,-69.855
379.980,0.30628,-0.93474,1.197,-68.985
385.786,0.29338,-0.93935,1.142,-67.985
391.592,0.28130,-0.94306,1.121,-67.079
397.397,0.26752,-0.94591,1.177,-66.089
403.203,0.25521,-0.94971,1.130,-65.197
409.009,0.24297,-0.95359,1.067,-64.326
414.815,0.23062,-0.95817,0.951,-63.453
420.621,0.21812,-0.95935,1.047,-62.634
426.426,0.20506,-0.96260,1.006,-61.763
432.232,0.19382,-0.96434,1.028,-61.039
438.038,0.18137,-0.96653,1.026,-60.245
443.844,0.16744,-0.96788,1.079,-59.381
449.650,0.15529,-0.96945,1.090,-58.635
455.455,0.14365,-0.97188,1.037,-57.923
461.261,0.13118,-0.97081,1.188,-57.197
467.067,0.11706,-0.97454,1.058,-56.354
472.873,0.10557,-0.97494,1.095,-55.695
478.679,0.09353,-0.97673,1.049,-55.006
484.484,0.08112,-0.97706,1.077,-54.312
490.290,0.07213,-0.97719,1.099,-53.815
496.096,0.06062,-0.97645,1.168,-53.187
501.902,0.04958,-0.97754,1.129,-52.587
507.708,0.03668,-0.97950,1.040,-51.897
513.514,0.02360,-0.97837,1.105,-51.208
519.319,0.01655,-0.97968,1.037,-50.841
525.125,0.00402,-0.98029,0.999,-50.196
530.931,-0.00862,-0.97938,1.031,-49.551
536.737,-0.02044,-0.97959,0.999,-48.958
542.543,-0.02843,-0.98048,0.937,-48.562
548.348,-0.03717,-0.98035,0.921,-48.131
554.154,-0.04816,-0.97589,1.105,-47.581
559.960,-0.06193,-0.97494,1.098,-46.912
565.766,-0.07112,-0.97642,0.989,-46.481
571.572,-0.08192,-0.97825,0.854,-45.981
577.377,-0.09214,-0.97381,1.009,-45.482
583.183,-0.10019,-0.97289,1.007,-45.105
588.989,-0.10910,-0.97448,0.883,-44.707
594.795,-0.11699,-0.97431,0.843,-44.348
600.601,-0.12556,-0.97252,0.868,-43.952
606.406,-0.13676,-0.97418,0.720,-43.466
612.212,-0.14707,-0.97174,0.754,-42.996
618.018,-0.15704,-0.97191,0.673,-42.565
623.824,-0.16181,-0.97071,0.688,-42.351
629.630,-0.17323,-0.96904,0.668,-41.850
635.435,-0.17974,-0.96782,0.666,-41.565
641.241,-0.18915,-0.96661,0.636,-41.160
647.047,-0.19717,-0.96592,0.594,-40.821
652.853,-0.20382,-0.96422,0.604,-40.532
