Freq (MHz),re(S11),im(S11),re(Z),im(Z)
200.000,-0.02875,-0.11545,45.996,-10.773
205.806,-0.03551,-0.11268,45.441,-10.385
211.612,-0.04117,-0.11025,44.981,-10.058
217.417,-0.04647,-0.10640,44.582,-9.617
223.223,-0.05027,-0.10045,44.350,-9.024
229.029,-0.05332,-0.09529,44.167,-8.519
234.835,-0.05604,-0.09079,43.999,-8.081
240.641,-0.05765,-0.08479,43.945,-7.531
246.446,-0.05791,-0.07980,43.991,-7.090
252.252,-0.05759,-0.07461,44.087,-6.637
258.058,-0.05564,-0.06906,44.325,-6.171
263.864,-0.05359,-0.06441,44.560,-5.781
269.670,-0.05021,-0.06105,44.899,-5.516
275.475,-0.04691,-0.05851,45.221,-5.322
281.281,-0.04209,-0.05635,45.681,-5.174
287.087,-0.03683,-0.05509,46.176,-5.110
292.893,-0.03132,-0.05506,46.688,-5.162
298.699,-0.02600,-0.05517,47.185,-5.226
304.505,-0.02036,-0.05695,47.700,-5.453
310.310,-0.01538,-0.05995,48.143,-5.795
316.116,-0.00975,-0.06350,48.645,-6.203
321.922,-0.00570,-0.06875,48.970,-6.766
327.728,-0.00145,-0.07411,49.311,-7.349
333.534,0.00182,-0.08047,49.535,-8.024
339.339,0.00425,-0.08785,49.651,-8.792
345.145,0.00554,-0.09483,49.651,-9.503
350.951,0.00654,-0.10308,49.586,-10.332
356.757,0.00623,-0.11213,49.362,-11.211
362.563,0.00489,-0.11961,49.060,-11.907
368.368,0.00165,-0.12725,48.564,-12.563
374.174,-0.00215,-0.13603,47.980,-13.300
379.980,-0.00663,-0.14413,47.345,-13.938
385.786,-0.01195,-0.15209,46.636,-14.524
391.592,-0.01830,-0.15821,45.888,-14.898
397.397,-0.02532,-0.16405,45.096,-15.215
403.203,-0.03281,-0.16921,44.293,-15.448
409.009,-0.04064,-0.17291,43.513,-15.538
414.815,-0.04942,-0.17621,42.677,-15.561
420.621,-0.05697,-0.17842,41.988,-15.528
426.426,-0.06674,-0.17921,41.170,-15.317
432.232,-0.07460,-0.17910,40.543,-15.091
438.038,-0.08309,-0.17842,39.889,-14.808
443.844,-0.09107,-0.17610,39.326,-14.417
449.650,-0.09850,-0.17343,38.820,-14.023
455.455,-0.10484,-0.16995,38.419,-13.601
461.261,-0.11185,-0.16508,38.000,-13.066
467.067,-0.11675,-0.16093,37.724,-12.641
472.873,-0.12121,-0.15541,37.508,-12.130
478.679,-0.12423,-0.14894,37.415,-11.581
484.484,-0.12665,-0.14297,37.352,-11.085
490.290,-0.12752,-0.13709,37.398,-10.627
496.096,-0.12813,-0.13126,37.458,-10.176
501.902,-0.12731,-0.12598,37.613,-9.791
507.708,-0.12635,-0.12106,37.768,-9.433
513.514,-0.12287,-0.11590,38.118,-9.095
519.319,-0.11969,-0.11204,38.425,-8.848
525.125,-0.11589,-0.10883,38.770,-8.657
