Freq (MHz),re(S11),im(S11),re(Z),im(Z)
200.000,-0.01182,-0.07231,48.330,-7.027
205.806,-0.01825,-0.06887,47.761,-6.612
211.612,-0.02368,-0.06481,47.297,-6.160
217.417,-0.02885,-0.06046,46.861,-5.692
223.223,-0.03277,-0.05460,46.557,-5.104
229.029,-0.03656,-0.04862,46.262,-4.515
234.835,-0.03848,-0.04255,46.133,-3.939
240.641,-0.03989,-0.03599,46.049,-3.324
246.446,-0.04005,-0.02858,46.077,-2.640
252.252,-0.03979,-0.02272,46.128,-2.100
258.058,-0.03812,-0.01638,46.304,-1.520
263.864,-0.03571,-0.00996,46.543,-0.929
269.670,-0.03218,-0.00477,46.881,-0.448
275.475,-0.02831,-0.00055,47.247,-0.052
281.281,-0.02349,0.00371,47.703,0.354
287.087,-0.01744,0.00690,48.282,0.667
292.893,-0.01121,0.00955,48.882,0.934
298.699,-0.00561,0.01148,49.429,1.135
304.505,0.00106,0.01226,50.091,1.228
310.310,0.00732,0.01092,50.725,1.108
316.116,0.01399,0.00963,51.409,0.990
321.922,0.01954,0.00699,51.988,0.727
327.728,0.02496,0.00362,52.558,0.381
333.534,0.03044,-0.00103,53.139,-0.109
339.339,0.03496,-0.00614,53.619,-0.660
345.145,0.03892,-0.01196,54.033,-1.294
350.951,0.04207,-0.01832,54.353,-1.996
356.757,0.04334,-0.02551,54.456,-2.785
362.563,0.04426,-0.03345,54.503,-3.657
368.368,0.04376,-0.04001,54.393,-4.368
374.174,0.04273,-0.04767,54.205,-5.190
379.980,0.04096,-0.05518,53.927,-5.980
385.786,0.03747,-0.06209,53.463,-6.674
391.592,0.03417,-0.06832,53.022,-7.287
397.397,0.02874,-0.07453,52.357,-7.854
403.203,0.02317,-0.07958,51.697,-8.285
409.009,0.01752,-0.08420,51.042,-8.659
414.815,0.01058,-0.08799,50.277,-8.917
420.621,0.00348,-0.09028,49.532,-9.017
426.426,-0.00342,-0.09164,48.835,-9.027
432.232,-0.01093,-0.09174,48.111,-8.903
438.038,-0.01792,-0.09176,47.448,-8.785
443.844,-0.02509,-0.08941,46.816,-8.445
449.650,-0.03151,-0.08785,46.247,-8.197
455.455,-0.03811,-0.08431,45.698,-7.772
461.261,-0.04392,-0.07956,45.240,-7.258
467.067,-0.04915,-0.07474,44.834,-6.756
472.873,-0.05286,-0.06963,44.566,-6.254
478.679,-0.05582,-0.06349,44.372,-5.674
484.484,-0.05842,-0.05628,44.214,-5.009
490.290,-0.05908,-0.04992,44.212,-4.441
496.096,-0.05957,-0.04310,44.222,-3.833
501.902,-0.05882,-0.03619,44.335,-3.224
507.708,-0.05741,-0.02975,44.496,-2.659
513.514,-0.05430,-0.02329,44.804,-2.094
519.319,-0.05068,-0.01737,45.151,-1.573
525.125,-0.04571,-0.01237,45.615,-1.131
530.931,-0.04130,-0.00822,46.028,-0.758
536.737,-0.03486,-0.00429,46.629,-0.401
542.543,-0.02848,-0.00133,47.231,-0.126
548.348,-0.02165,-0.00006,47.881,-0.006
554.154,-0.01432,0.00021,48.588,0.020
559.960,-0.00724,0.00015,49.281,0.015
565.766,-0.00068,-0.00183,49.932,-0.183
571.572,0.00538,-0.00465,50.539,-0.470
577.377,0.01206,-0.00743,51.216,-0.762
583.183,0.01838,-0.01231,51.857,-1.277
588.989,0.02221,-0.01911,52.232,-1.998
594.795,0.02700,-0.02441,52.710,-2.576
600.601,0.02977,-0.03161,52.959,-3.354
606.406,0.03200,-0.03965,53.133,-4.224
612.212,0.03253,-0.04797,53.109,-5.112
618.018,0.03294,-0.05628,53.057,-5.998
623.824,0.03195,-0.06439,52.845,-6.841
629.630,0.02891,-0.07261,52.404,-7.657
635.435,0.02623,-0.07974,52.010,-8.353
641.241,0.02107,-0.08731,51.346,-9.039
647.047,0.01523,-0.09346,50.640,-9.552
652.853,0.00926,-0.09949,49.927,-10.034
658.659,0.00241,-0.10454,49.153,-10.391
664.464,-0.00537,-0.10918,48.307,-10.676
670.270,-0.01367,-0.11234,47.454,-10.800
676.076,-0.02171,-0.11374,46.677,-10.762
681.882,-0.02991,-0.11392,45.922,-10.610
687.688,-0.03758,-0.11410,45.226,-10.472
693.493,-0.04603,-0.11187,44.519,-10.109
699.299,-0.05414,-0.10947,43.852,-9.746
705.105,-0.06182,-0.10525,43.261,-9.245
710.911,-0.06853,-0.10046,42.766,-8.722
716.717,-0.07436,-0.09489,42.358,-8.157
722.523,-0.07959,-0.08831,42.012,-7.526
728.328,-0.08413,-0.08184,41.718,-6.923
734.134,-0.08718,-0.07411,41.556,-6.241
739.940,-0.08950,-0.06634,41.446,-5.568
745.746,-0.09051,-0.05790,41.442,-4.855
751.552,-0.08964,-0.05044,41.577,-4.239
757.357,-0.08899,-0.04203,41.692,-3.539
763.163,-0.08547,-0.03459,42.033,-2.933
768.969,-0.08232,-0.02747,42.335,-2.344
774.775,-0.07751,-0.02052,42.773,-1.767
780.581,-0.07206,-0.01446,43.261,-1.258
786.386,-0.06528,-0.00926,43.865,-0.816
792.192,-0.05780,-0.00539,44.534,-0.482
797.998,-0.05006,-0.00254,45.232,-0.230
803.804,-0.04227,-0.00015,45.944,-0.013
809.610,-0.03286,0.00015,46.819,0.014
815.415,-0.02446,-0.00060,47.612,-0.057
821.221,-0.01741,-0.00253,48.288,-0.244
827.027,-0.00877,-0.00582,49.127,-0.572
832.833,-0.00169,-0.00942,49.823,-0.939
838.639,0.00544,-0.01519,50.523,-1.535
844.444,0.01148,-0.02161,51.113,-2.211
850.250,0.01627,-0.02941,51.563,-3.037
856.056,0.01938,-0.03699,51.832,-3.841
861.862,0.02329,-0.04511,52.167,-4.719
867.668,0.02410,-0.05527,52.142,-5.785
873.473,0.02381,-0.06448,51.994,-6.737
879.279,0.02271,-0.07347,51.749,-7.650
885.085,0.02085,-0.08236,51.412,-8.530
890.891,0.01679,-0.09109,50.843,-9.343
896.697,0.01211,-0.09941,50.212,-10.084
902.503,0.00610,-0.10695,49.462,-10.703
908.308,-0.00086,-0.11447,48.624,-11.280
914.114,-0.00809,-0.12013,47.809,-11.656
919.920,-0.01655,-0.12496,46.908,-11.912
925.726,-0.02481,-0.12807,46.078,-12.007
931.532,-0.03380,-0.13051,45.213,-12.020
937.337,-0.04350,-0.13187,44.325,-11.920
943.143,-0.05297,-0.13213,43.497,-11.732
948.949,-0.06260,-0.13026,42.716,-11.366
954.755,-0.07181,-0.12784,41.991,-10.972
960.561,-0.07968,-0.12428,41.409,-10.522
966.366,-0.08757,-0.11884,40.863,-9.929
972.172,-0.09338,-0.11299,40.493,-9.352
977.978,-0.09893,-0.10620,40.155,-8.713
983.784,-0.10298,-0.09840,39.947,-8.024
989.590,-0.10636,-0.08955,39.798,-7.268
995.395,-0.10812,-0.08120,39.761,-6.578
1001.201,-0.10887,-0.07280,39.795,-5.895
1007.007,-0.10765,-0.06357,39.985,-5.165
1012.813,-0.10631,-0.05483,40.169,-4.469
1018.619,-0.10323,-0.04581,40.487,-3.757
1024.424,-0.09892,-0.03802,40.889,-3.145
1030.230,-0.09317,-0.03099,41.403,-2.591
1036.036,-0.08591,-0.02534,42.039,-2.148
1041.842,-0.07842,-0.01963,42.698,-1.688
1047.648,-0.06951,-0.01607,43.480,-1.405
1053.453,-0.06081,-0.01349,44.252,-1.199
1059.259,-0.05078,-0.01218,45.155,-1.103
1065.065,-0.04140,-0.01216,46.012,-1.121
1070.871,-0.03171,-0.01418,46.908,-1.332
1076.677,-0.02227,-0.01689,47.795,-1.616
1082.482,-0.01374,-0.02131,48.601,-2.073
1088.288,-0.00485,-0.02704,49.445,-2.676
1094.094,0.00235,-0.03414,50.118,-3.426
1099.900,0.00932,-0.04240,50.756,-4.312
1105.706,0.01376,-0.05172,51.117,-5.303
1111.512,0.01903,-0.06156,51.540,-6.373
1117.317,0.02125,-0.07208,51.620,-7.484
1123.123,0.02252,-0.08267,51.577,-8.590
1128.929,0.02244,-0.09397,51.359,-9.743
1134.735,0.01957,-0.10537,50.831,-10.837
1140.541,0.01699,-0.11571,50.338,-11.811
1146.346,0.01139,-0.12631,49.528,-12.716
1152.152,0.01135,-0.13451,49.310,-13.511
1157.958,-0.00103,-0.14587,47.820,-14.254
1163.764,-0.01018,-0.15431,46.735,-14.776
1169.570,-0.02016,-0.16182,45.618,-15.167
1175.375,-0.03036,-0.16801,44.540,-15.416
1181.181,-0.04129,-0.17292,43.457,-15.520
1186.987,-0.05275,-0.17638,42.396,-15.480
1192.793,-0.06508,-0.17715,41.362,-15.196
1198.599,-0.07657,-0.17809,40.414,-14.957
1204.404,-0.08839,-0.17744,39.500,-14.591
1210.210,-0.09977,-0.17467,38.691,-14.086
1216.016,-0.11017,-0.17089,37.992,-13.545
1221.822,-0.12029,-0.16575,37.350,-12.924
1227.628,-0.12927,-0.15949,36.821,-12.262
1233.433,-0.13690,-0.15176,36.419,-11.536
1239.239,-0.14437,-0.14324,36.036,-10.769
1245.045,-0.14842,-0.13432,35.901,-10.047
1250.851,-0.15217,-0.12473,35.787,-9.287
1256.657,-0.15402,-0.11448,35.809,-8.512
1262.462,-0.15372,-0.10443,35.972,-7.782
1268.268,-0.15379,-0.09373,36.103,-6.995
1274.074,-0.15025,-0.08518,36.463,-6.403
1279.880,-0.14686,-0.07584,36.815,-5.741
1285.686,-0.14079,-0.06626,37.364,-5.074
1291.491,-0.13444,-0.05911,37.911,-4.580
1297.297,-0.12625,-0.05160,38.604,-4.059
1303.103,-0.11730,-0.04698,39.343,-3.756
1308.909,-0.10848,-0.04388,40.072,-3.566
1314.715,-0.09816,-0.04103,40.935,-3.397
1320.521,-0.08697,-0.04058,41.871,-3.430
1326.326,-0.07668,-0.04115,42.742,-3.545
1332.132,-0.06603,-0.04432,43.644,-3.893
1337.938,-0.05567,-0.04969,44.517,-4.449
1343.744,-0.04639,-0.05603,45.293,-5.102
1349.550,-0.03812,-0.06353,45.969,-5.873
1355.355,-0.03093,-0.07264,46.521,-6.801
1361.161,-0.02432,-0.08325,46.985,-7.882
1366.967,-0.02028,-0.09415,47.185,-8.968
1372.773,-0.01762,-0.10587,47.216,-10.114
1378.579,-0.01707,-0.11877,46.998,-11.327
1384.384,-0.01708,-0.13138,46.707,-12.492
1390.190,-0.02066,-0.14465,46.047,-13.612
1395.996,-0.02493,-0.15764,45.313,-14.659
1401.802,-0.03062,-0.16982,44.464,-15.565
1407.608,-0.03701,-0.18113,43.577,-16.345
1413.413,-0.04644,-0.19179,42.457,-16.945
1419.219,-0.05667,-0.20137,41.320,-17.403
1425.025,-0.06822,-0.21033,40.119,-17.744
1430.831,-0.08093,-0.21734,38.918,-17.878
